plate_number,brand,model,department_id,standard_fuel_per_100km,usage_date,daily_km,fuel_liters
07 AAA 001,Renault,Caddy,4,7.72,2024-01-01,164,17.58
07 AAA 001,Renault,Caddy,4,7.72,2024-01-02,226,15.6
07 AAA 001,Renault,Caddy,4,7.72,2024-01-03,279,22.8
07 AAA 001,Renault,Caddy,4,7.72,2024-01-04,94,7.97
07 AAA 001,Renault,Caddy,4,7.72,2024-01-05,232,17.78
07 AAA 001,Renault,Caddy,4,7.72,2024-01-06,234,20.61
07 AAA 001,Renault,Caddy,4,7.72,2024-01-07,215,16.89
07 AAA 001,Renault,Caddy,4,7.72,2024-01-08,282,19.84
07 AAA 001,Renault,Caddy,4,7.72,2024-01-09,44,4.48
07 AAA 001,Renault,Caddy,4,7.72,2024-01-10,193,12.09
07 AAA 001,Renault,Caddy,4,7.72,2024-01-11,155,17.32
07 AAA 001,Renault,Caddy,4,7.72,2024-01-12,226,16.16
07 AAA 001,Renault,Caddy,4,7.72,2024-01-13,254,18.84
07 AAA 001,Renault,Caddy,4,7.72,2024-01-14,219,21.97
07 AAA 001,Renault,Caddy,4,7.72,2024-01-15,225,20.83
07 AAA 001,Renault,Caddy,4,7.72,2024-01-16,59,6.33
07 AAA 001,Renault,Caddy,4,7.72,2024-01-17,134,10.76
07 AAA 001,Renault,Caddy,4,7.72,2024-01-18,285,24.62
07 AAA 001,Renault,Caddy,4,7.72,2024-01-19,211,17.23
07 AAA 001,Renault,Caddy,4,7.72,2024-01-20,46,4.35
07 AAA 001,Renault,Caddy,4,7.72,2024-01-21,135,13.35
07 AAA 001,Renault,Caddy,4,7.72,2024-01-22,250,20.58
07 AAA 001,Renault,Caddy,4,7.72,2024-01-23,230,16.6
07 AAA 001,Renault,Caddy,4,7.72,2024-01-24,255,26.72
07 AAA 001,Renault,Caddy,4,7.72,2024-01-25,138,11.37
07 AAA 001,Renault,Caddy,4,7.72,2024-01-26,118,8.1
07 AAA 001,Renault,Caddy,4,7.72,2024-01-27,169,11.23
07 AAA 001,Renault,Caddy,4,7.72,2024-01-28,268,23.66
07 AAA 001,Renault,Caddy,4,7.72,2024-01-29,194,15.2
07 AAA 001,Renault,Caddy,4,7.72,2024-01-30,219,21.17
07 AAA 001,Renault,Caddy,4,7.72,2024-01-31,125,11.97
07 AAA 001,Renault,Caddy,4,7.72,2024-02-01,104,6.5
07 AAA 001,Renault,Caddy,4,7.72,2024-02-02,81,5.83
07 AAA 001,Renault,Caddy,4,7.72,2024-02-03,148,17.05
07 AAA 001,Renault,Caddy,4,7.72,2024-02-04,266,19.6
07 AAA 001,Renault,Caddy,4,7.72,2024-02-05,299,19.13
07 AAA 001,Renault,Caddy,4,7.72,2024-02-06,222,21.61
07 AAA 001,Renault,Caddy,4,7.72,2024-02-07,148,13.91
07 AAA 001,Renault,Caddy,4,7.72,2024-02-08,145,9.13
07 AAA 001,Renault,Caddy,4,7.72,2024-02-09,80,5.79
07 AAA 001,Renault,Caddy,4,7.72,2024-02-10,217,17.82
07 AAA 001,Renault,Caddy,4,7.72,2024-02-11,144,9.84
07 AAA 001,Renault,Caddy,4,7.72,2024-02-12,113,10.88
07 AAA 001,Renault,Caddy,4,7.72,2024-02-13,85,6.11
07 AAA 001,Renault,Caddy,4,7.72,2024-02-14,163,12.17
07 AAA 001,Renault,Caddy,4,7.72,2024-02-15,180,17.69
07 AAA 001,Renault,Caddy,4,7.72,2024-02-16,89,7.76
07 AAA 001,Renault,Caddy,4,7.72,2024-02-17,139,11.77
07 AAA 001,Renault,Caddy,4,7.72,2024-02-18,204,17.62
07 AAA 001,Renault,Caddy,4,7.72,2024-02-19,244,15.43
07 AAA 001,Renault,Caddy,4,7.72,2024-02-20,148,10.74
07 AAA 001,Renault,Caddy,4,7.72,2024-02-21,73,5.03
07 AAA 001,Renault,Caddy,4,7.72,2024-02-22,80,6.44
07 AAA 001,Renault,Caddy,4,7.72,2024-02-23,113,7.38
07 AAA 001,Renault,Caddy,4,7.72,2024-02-24,132,10.21
07 AAA 001,Renault,Caddy,4,7.72,2024-02-25,241,18.69
07 AAA 001,Renault,Caddy,4,7.72,2024-02-26,260,17.89
07 AAA 001,Renault,Caddy,4,7.72,2024-02-27,294,24.35
07 AAA 001,Renault,Caddy,4,7.72,2024-02-28,90,6.54
07 AAA 001,Renault,Caddy,4,7.72,2024-02-29,201,21.45
07 AAA 001,Renault,Caddy,4,7.72,2024-03-01,280,29.22
07 AAA 001,Renault,Caddy,4,7.72,2024-03-02,141,14.47
07 AAA 001,Renault,Caddy,4,7.72,2024-03-03,256,28.21
07 AAA 001,Renault,Caddy,4,7.72,2024-03-04,249,20.32
07 AAA 001,Renault,Caddy,4,7.72,2024-03-05,186,18.4
07 AAA 001,Renault,Caddy,4,7.72,2024-03-06,105,11.51
07 AAA 001,Renault,Caddy,4,7.72,2024-03-07,293,19.36
07 AAA 001,Renault,Caddy,4,7.72,2024-03-08,258,26.59
07 AAA 001,Renault,Caddy,4,7.72,2024-03-09,117,12.28
07 AAA 001,Renault,Caddy,4,7.72,2024-03-10,163,13.12
07 AAA 001,Renault,Caddy,4,7.72,2024-03-11,216,20.95
07 AAA 001,Renault,Caddy,4,7.72,2024-03-12,141,10.88
07 AAA 001,Renault,Caddy,4,7.72,2024-03-13,294,30.41
07 AAA 001,Renault,Caddy,4,7.72,2024-03-14,101,6.88
07 AAA 001,Renault,Caddy,4,7.72,2024-03-15,94,7.5
07 AAA 001,Renault,Caddy,4,7.72,2024-03-16,151,16.12
07 AAA 001,Renault,Caddy,4,7.72,2024-03-17,169,15.61
07 AAA 001,Renault,Caddy,4,7.72,2024-03-18,79,6.85
07 AAA 001,Renault,Caddy,4,7.72,2024-03-19,101,8.12
07 AAA 001,Renault,Caddy,4,7.72,2024-03-20,227,16.41
07 AAA 001,Renault,Caddy,4,7.72,2024-03-21,283,25.37
07 AAA 001,Renault,Caddy,4,7.72,2024-03-22,161,14.39
07 AAA 001,Renault,Caddy,4,7.72,2024-03-23,174,14.92
07 AAA 001,Renault,Caddy,4,7.72,2024-03-24,212,13.62
07 AAA 001,Renault,Caddy,4,7.72,2024-03-25,247,15.98
07 AAA 001,Renault,Caddy,4,7.72,2024-03-26,117,8.81
07 AAA 001,Renault,Caddy,4,7.72,2024-03-27,230,17.74
07 AAA 001,Renault,Caddy,4,7.72,2024-03-28,103,11.37
07 AAA 001,Renault,Caddy,4,7.72,2024-03-29,180,15.49
07 AAA 001,Renault,Caddy,4,7.72,2024-03-30,142,14.18
07 AAA 001,Renault,Caddy,4,7.72,2024-03-31,96,7.4
07 AAA 001,Renault,Caddy,4,7.72,2024-04-01,251,25.42
07 AAA 001,Renault,Caddy,4,7.72,2024-04-02,160,13.68
07 AAA 001,Renault,Caddy,4,7.72,2024-04-03,46,4.74
07 AAA 001,Renault,Caddy,4,7.72,2024-04-04,122,10.1
07 AAA 001,Renault,Caddy,4,7.72,2024-04-05,120,10.47
07 AAA 001,Renault,Caddy,4,7.72,2024-04-06,165,13.23
07 AAA 001,Renault,Caddy,4,7.72,2024-04-07,126,12.23
07 AAA 001,Renault,Caddy,4,7.72,2024-04-08,148,14.46
07 AAA 001,Renault,Caddy,4,7.72,2024-04-09,182,19.8
07 AAA 001,Renault,Caddy,4,7.72,2024-04-10,68,6.82
