plate_number,brand,model,department_id,standard_fuel_per_100km,usage_date,daily_km,fuel_liters
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-01,71,21.35
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-02,201,48.9
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-03,72,21.87
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-04,290,66.6
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-05,278,77.6
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-06,218,50.55
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-07,84,27.63
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-08,292,64.38
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-09,114,23.77
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-10,108,24.28
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-11,248,76.3
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-12,231,81.33
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-13,171,52.88
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-14,116,26.47
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-15,114,28.45
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-16,115,38.03
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-17,79,20.55
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-18,289,86.97
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-19,185,61.76
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-20,268,58.92
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-21,103,35.61
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-22,136,46.36
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-23,236,63.49
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-24,142,46.73
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-25,297,72.99
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-26,278,56.38
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-27,48,12.42
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-28,206,59.73
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-29,169,37.83
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-30,130,33.95
07 AAA 001,Fiat,Doblo,3,24.55,2024-01-31,147,40.51
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-01,205,45.94
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-02,123,30.43
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-03,270,59.54
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-04,282,62.38
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-05,150,37.47
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-06,279,73.16
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-07,217,73.65
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-08,108,25.28
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-09,104,30.45
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-10,187,55.52
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-11,257,86.71
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-12,292,71.02
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-13,109,21.76
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-14,125,27.69
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-15,64,13.31
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-16,92,20.57
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-17,196,66.45
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-18,100,27.07
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-19,266,90.37
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-20,249,89.98
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-21,246,54.74
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-22,284,80.46
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-23,275,62.48
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-24,214,65.81
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-25,215,58.83
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-26,124,34.9
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-27,57,16.59
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-28,116,36.0
07 AAA 001,Fiat,Doblo,3,24.55,2024-02-29,89,25.33
07 AAA 001,Fiat,Doblo,3,24.55,2024-03-01,244,81.61
07 AAA 001,Fiat,Doblo,3,24.55,2024-03-02,248,55.92
07 AAA 001,Fiat,Doblo,3,24.55,2024-03-03,217,76.73
07 AAA 001,Fiat,Doblo,3,24.55,2024-03-04,265,71.81
07 AAA 001,Fiat,Doblo,3,24.55,2024-03-05,140,38.85
07 AAA 001,Fiat,Doblo,3,24.55,2024-03-06,295,72.97
07 AAA 001,Fiat,Doblo,3,24.55,2024-03-07,129,31.29
07 AAA 001,Fiat,Doblo,3,24.55,2024-03-08,290,73.84
07 AAA 001,Fiat,Doblo,3,24.55,2024-03-09,111,31.89
07 AAA 001,Fiat,Doblo,3,24.55,2024-03-10,178,41.29
07 AAA 001,Fiat,Doblo,3,24.55,2024-03-11,90,21.31
07 AAA 001,Fiat,Doblo,3,24.55,2024-03-12,209,70.37
